Date,Capex_Macro_Comp,Capex_Hyperscaler,Capex_Supply
1987-11-30,1.1363636363636365,,1.1363636363636365
1987-12-31,1.1363636363636365,,1.1363636363636365
1988-01-31,115.90909090909089,,115.90909090909089
1988-02-29,115.90909090909089,,115.90909090909089
1988-03-31,115.90909090909089,,115.90909090909089
1988-04-30,217.04545454545453,,217.04545454545453
1988-05-31,217.04545454545453,,217.04545454545453
1988-06-30,217.04545454545453,,217.04545454545453
1988-07-31,104.54545454545452,,104.54545454545452
1988-08-31,104.54545454545452,,104.54545454545452
1988-09-30,104.54545454545452,,104.54545454545452
1988-10-31,80.68181818181817,,80.68181818181817
1988-11-30,80.68181818181817,,80.68181818181817
1988-12-31,80.68181818181817,,80.68181818181817
1989-01-31,171.5909090909091,,171.5909090909091
1989-02-28,171.5909090909091,,171.5909090909091
1989-03-31,171.5909090909091,,171.5909090909091
1989-04-30,255.68181818181816,,255.68181818181816
1989-05-31,255.68181818181816,,255.68181818181816
1989-06-30,255.68181818181816,,255.68181818181816
1989-07-31,160.22727272727272,,160.22727272727272
1989-08-31,160.22727272727272,,160.22727272727272
1989-09-30,160.22727272727272,,160.22727272727272
1989-10-31,70.45454545454545,,70.45454545454545
1989-11-30,70.45454545454545,,70.45454545454545
1989-12-31,70.45454545454545,,70.45454545454545
1990-01-31,61.36363636363637,,61.36363636363637
1990-02-28,61.36363636363637,,61.36363636363637
1990-03-31,61.36363636363637,,61.36363636363637
1990-04-30,-25.0,,-25.0
1990-05-31,-25.0,,-25.0
1990-06-30,-25.0,,-25.0
1990-07-31,-61.36363636363637,,-61.36363636363637
1990-08-31,-61.36363636363637,,-61.36363636363637
1990-09-30,-61.36363636363637,,-61.36363636363637
1990-10-31,103.40909090909089,,103.40909090909089
1990-11-30,103.40909090909089,,103.40909090909089
1990-12-31,103.40909090909089,,103.40909090909089
1991-01-31,-65.9090909090909,,-65.9090909090909
1991-02-28,-65.9090909090909,,-65.9090909090909
1991-03-31,-65.9090909090909,,-65.9090909090909
1991-04-30,117.04545454545455,,117.04545454545455
1991-05-31,117.04545454545455,,117.04545454545455
1991-06-30,117.04545454545455,,117.04545454545455
1991-07-31,148.86363636363635,,148.86363636363635
1991-08-31,148.86363636363635,,148.86363636363635
1991-09-30,148.86363636363635,,148.86363636363635
1991-10-31,148.86363636363635,,148.86363636363635
1991-11-30,148.86363636363635,,148.86363636363635
1991-12-31,148.86363636363635,,148.86363636363635
1992-01-31,98.86363636363635,,98.86363636363635
1992-02-29,98.86363636363635,,98.86363636363635
1992-03-31,98.86363636363635,,98.86363636363635
1992-04-30,269.3181818181818,,269.3181818181818
1992-05-31,269.3181818181818,,269.3181818181818
1992-06-30,269.3181818181818,,269.3181818181818
1992-07-31,271.59090909090907,,271.59090909090907
1992-08-31,271.59090909090907,,271.59090909090907
1992-09-30,271.59090909090907,,271.59090909090907
1992-10-31,81.81818181818181,,81.81818181818181
1992-11-30,81.81818181818181,,81.81818181818181
1992-12-31,81.81818181818181,,81.81818181818181
1993-01-31,132.95454545454544,,132.95454545454544
1993-02-28,132.95454545454544,,132.95454545454544
1993-03-31,132.95454545454544,,132.95454545454544
1993-04-30,102.27272727272727,,102.27272727272727
1993-05-31,102.27272727272727,,102.27272727272727
1993-06-30,102.27272727272727,,102.27272727272727
1993-07-31,261.3636363636363,,261.3636363636363
1993-08-31,261.3636363636363,,261.3636363636363
1993-09-30,261.3636363636363,,261.3636363636363
1993-10-31,86.36363636363636,,86.36363636363636
1993-11-30,86.36363636363636,,86.36363636363636
1993-12-31,86.36363636363636,,86.36363636363636
1994-01-31,147.72727272727272,,147.72727272727272
1994-02-28,147.72727272727272,,147.72727272727272
1994-03-31,147.72727272727272,,147.72727272727272
1994-04-30,115.90909090909089,,115.90909090909089
1994-05-31,115.90909090909089,,115.90909090909089
1994-06-30,115.90909090909089,,115.90909090909089
1994-07-31,137.49999999999997,,137.49999999999997
1994-08-31,137.49999999999997,,137.49999999999997
1994-09-30,137.49999999999997,,137.49999999999997
1994-10-31,217.04545454545453,,217.04545454545453
1994-11-30,217.04545454545453,,217.04545454545453
1994-12-31,217.04545454545453,,217.04545454545453
1995-01-31,234.0909090909091,,234.0909090909091
1995-02-28,234.0909090909091,,234.0909090909091
1995-03-31,234.0909090909091,,234.0909090909091
1995-04-30,243.18181818181816,,243.18181818181816
1995-05-31,243.18181818181816,,243.18181818181816
1995-06-30,243.18181818181816,,243.18181818181816
1995-07-31,96.59090909090908,,96.59090909090908
1995-08-31,96.59090909090908,,96.59090909090908
1995-09-30,96.59090909090908,,96.59090909090908
1995-10-31,285.2272727272727,,285.2272727272727
1995-11-30,285.2272727272727,,285.2272727272727
1995-12-31,285.2272727272727,,285.2272727272727
1996-01-31,260.2272727272727,,260.2272727272727
1996-02-29,260.2272727272727,,260.2272727272727
1996-03-31,260.2272727272727,,260.2272727272727
1996-04-30,212.49999999999994,,212.49999999999994
1996-05-31,212.49999999999994,,212.49999999999994
1996-06-30,212.49999999999994,,212.49999999999994
1996-07-31,237.49999999999994,,237.49999999999994
1996-08-31,237.49999999999994,,237.49999999999994
1996-09-30,237.49999999999994,,237.49999999999994
1996-10-31,167.04545454545453,,167.04545454545453
1996-11-30,167.04545454545453,,167.04545454545453
1996-12-31,167.04545454545453,,167.04545454545453
1997-01-31,319.3181818181818,,319.3181818181818
1997-02-28,319.3181818181818,,319.3181818181818
1997-03-31,319.3181818181818,,319.3181818181818
1997-04-30,281.8181818181818,,281.8181818181818
1997-05-31,281.8181818181818,,281.8181818181818
1997-06-30,281.8181818181818,,281.8181818181818
1997-07-31,386.3636363636363,,386.3636363636363
1997-08-31,386.3636363636363,,386.3636363636363
1997-09-30,386.3636363636363,,386.3636363636363
1997-10-31,177.27272727272725,,177.27272727272725
1997-11-30,177.27272727272725,,177.27272727272725
1997-12-31,177.27272727272725,,177.27272727272725
1998-01-31,343.1818181818182,,343.1818181818182
1998-02-28,343.1818181818182,,343.1818181818182
1998-03-31,343.1818181818182,,343.1818181818182
1998-04-30,212.49999999999994,,212.49999999999994
1998-05-31,212.49999999999994,,212.49999999999994
1998-06-30,212.49999999999994,,212.49999999999994
1998-07-31,159.0909090909091,,159.0909090909091
1998-08-31,159.0909090909091,,159.0909090909091
1998-09-30,159.0909090909091,,159.0909090909091
1998-10-31,311.3636363636363,,311.3636363636363
1998-11-30,311.3636363636363,,311.3636363636363
1998-12-31,311.3636363636363,,311.3636363636363
1999-01-31,279.54545454545456,,279.54545454545456
1999-02-28,279.54545454545456,,279.54545454545456
1999-03-31,279.54545454545456,,279.54545454545456
1999-04-30,385.22727272727263,,385.22727272727263
1999-05-31,385.22727272727263,,385.22727272727263
1999-06-30,385.22727272727263,,385.22727272727263
1999-07-31,222.72727272727272,,222.72727272727272
1999-08-31,222.72727272727272,,222.72727272727272
1999-09-30,222.72727272727272,,222.72727272727272
1999-10-31,35.22727272727273,,35.22727272727273
1999-11-30,35.22727272727273,,35.22727272727273
1999-12-31,35.22727272727273,,35.22727272727273
2000-01-31,344.3181818181818,,344.3181818181818
